f_GHz,S11_dB,S21_dB,S12_dB,S22_dB
1.089,-17.64809595896635,-0.17952690021473877,-0.1795232637765557,-17.6509630209866
1.09,-17.632162884024595,-0.1798991632628738,-0.17989554436743405,-17.63502489421927
1.091,-17.616243591447564,-0.1802721293176673,-0.18026852822196818,-17.619100557388293
1.092,-17.60033808272387,-0.18064580057790827,-0.180642217536974,-17.603190011954823
1.093,-17.584446359273333,-0.18102017923543662,-0.18101661450231704,-17.587293259311732
1.094,-17.568568422447267,-0.1813952674751512,-0.18139172130092673,-17.571410300783903
1.095,-17.55270427352889,-0.18177106747498456,-0.18176754010877674,-17.55554113762862
1.096,-17.536853913733584,-0.18214758140591003,-0.1821440730948723,-17.539685771035856
1.097,-17.521017344209305,-0.18252481143192692,-0.18252132242125543,-17.523844202128636
1.098,-17.505194566036877,-0.18290275971005213,-0.18289929024298848,-17.508016431963355
1.099,-17.48938558023034,-0.18328142839031925,-0.18327797870814924,-17.492202461530116
1.1,-17.473590387737296,-0.18366081961576003,-0.18365738995782327,-17.47640229175307
1.101,-17.457808989439243,-0.1840409355224162,-0.18403752612610214,-17.460615923490725
1.102,-17.44204138615189,-0.1844217782393095,-0.18441838934007082,-17.44484335753629
1.103,-17.426287578625526,-0.18480334988844827,-0.184799981719792,-17.429084594618015
1.104,-17.410547567545322,-0.18518565258481723,-0.18518230537831715,-17.413339635399495
1.105,-17.39482135353168,-0.18556868843637134,-0.18556536242166496,-17.39760848048002
1.106,-17.379108937140547,-0.18595245954402534,-0.18594915494882455,-17.381891130394884
1.107,-17.363410318863792,-0.1863369680016509,-0.18633368505173667,-17.366187585615723
1.108,-17.347725499129474,-0.1867222158960648,-0.18671895481529907,-17.350497846550834
1.109,-17.33205447830222,-0.18710820530702538,-0.1871049663173506,-17.33482191354551
1.11,-17.316397256683512,-0.1874949383072284,-0.18749172162866742,-17.319159786882352
1.111,-17.30075383451208,-0.18788241696228974,-0.1878792228129545,-17.3035114667816
1.112,-17.285124211964142,-0.18827064333074922,-0.18826747192684148,-17.287876953401437
1.113,-17.269508389153813,-0.18865961946405896,-0.18865647101987504,-17.272256246838353
1.114,-17.25390636613337,-0.18904934740657864,-0.18904622213451316,-17.256649347127407
1.115,-17.238318142893622,-0.1894398291955655,-0.18943672730611016,-17.24105625424261
1.116,-17.22274371936419,-0.18983106686116594,-0.18982798856292116,-17.22547696809719
1.117,-17.20718309541387,-0.19022306242641815,-0.19022000792609187,-17.20991148854395
1.118,-17.191636270850935,-0.19061581790723864,-0.1906127874096471,-17.194359815375556
1.119,-17.17610324542347,-0.19100933531240943,-0.19100632902048775,-17.178821948324885
1.12,-17.160584018819655,-0.19140361664358796,-0.19140063475838998,-17.163297887065305
1.121,-17.145078590668156,-0.1917986638952854,-0.19179570661598255,-17.14778763121103
1.1219999999999999,-17.129586960538376,-0.19219447905486498,-0.19219154657875964,-17.132291180317402
1.123,-17.114109127940797,-0.19259106410253868,-0.19258815662506024,-17.116808533881226
1.124,-17.098645092327327,-0.19298842101135763,-0.19298553872606816,-17.101339691341067
1.125,-17.083194853091573,-0.19338655174720443,-0.19338369484580423,-17.085884652077585
1.126,-17.06775840956918,-0.19378545826879173,-0.19378262694111834,-17.070443415413827
1.127,-17.052335761038147,-0.1941851425276469,-0.19418233696168852,-17.055015980615543
1.1280000000000001,-17.036926906719142,-0.1945856064681217,-0.19458282685000816,-17.03960234689151
1.129,-17.021531845775804,-0.19498685202736263,-0.19498409854137805,-17.024202513393814
1.13,-17.006150577315072,-0.19538888113532793,-0.1953861539639103,-17.00881647921819
1.131,-16.99078310038749,-0.1957916957147695,-0.19578899503851568,-16.993444243404305
1.1320000000000001,-16.975429413987516,-0.19619529768122335,-0.19619262367889548,-16.978085804936093
1.133,-16.96008951705385,-0.19659968894301413,-0.19659704179154067,-16.96274116274203
1.134,-16.944763408469715,-0.19700487140124073,-0.19700225127571694,-16.947410315695468
1.135,-16.929451087063196,-0.1974108469497759,-0.19740825402347364,-16.932093262614913
1.1360000000000001,-16.914152551607536,-0.19781761747525345,-0.19781505191962392,-16.91679000226436
1.137,-16.89886780082144,-0.1982251848570673,-0.19822264684173976,-16.901500533353587
1.138,-16.883596833369392,-0.1986335509673674,-0.19863104066016185,-16.886224854538433
1.139,-16.868339647861948,-0.1990427176710448,-0.19904023523796882,-16.87096296442113
1.1400000000000001,-16.85309624285606,-0.19945268682573875,-0.1994502324309929,-16.855714861550602
1.141,-16.837866616855386,-0.19986346028182134,-0.19986103408779937,-16.840480544422764
1.142,-16.82265076831055,-0.20027503988238993,-0.20027264204969608,-16.825260011480797
1.143,-16.807448695619495,-0.20068742746327178,-0.20068505815071067,-16.810053261115492
1.1440000000000001,-16.792260397127773,-0.20110062485300922,-0.20109828421759252,-16.794860291665515
1.145,-16.777085871128836,-0.2015146338728575,-0.20151232206981368,-16.779681101417715
1.146,-16.761925115864337,-0.20192945633677967,-0.2019271735195537,-16.764515688607432
1.147,-16.746778129524444,-0.20234509405143875,-0.20234284037169675,-16.74936405141877
1.148,-16.731644910248132,-0.2027615488161924,-0.2027593244238255,-16.734226187984923
1.149,-16.716525456123488,-0.20317882242309393,-0.2031766274662209,-16.719102096388443
1.15,-16.701419765188003,-0.20359691665687338,-0.20359475128184923,-16.703991774661556
1.151,-16.686327835428862,-0.2040158332949431,-0.20401369764636193,-16.688895220786442
1.152,-16.671249664783275,-0.20443557410739485,-0.2044334683280846,-16.673812432695524
1.153,-16.656185251138723,-0.20485614085697965,-0.20485406508802168,-16.658743408271782
1.154,-16.6411345923333,-0.20527753529911766,-0.2052754896798375,-16.643688145349035
1.155,-16.626097686155976,-0.20569975918188305,-0.20569774384986605,-16.62864664171221
1.156,-16.61107453034691,-0.20612281424600862,-0.20612082933709192,-16.61361889509767
1.157,-16.59606512259773,-0.20654670222486612,-0.20654474787315297,-16.59860490319347
1.158,-16.581069460551838,-0.20697142484447462,-0.20696950118233334,-16.583604663639672
1.159,-16.566087541804695,-0.20739698382348964,-0.20739509098156025,-16.568618174028614
