f_GHz,S11_dB,S21_dB,S12_dB,S22_dB
1.064,-15.70489585556021,-0.2190791014494941,-0.21904106051739303,-15.707334274075786
1.065,-15.693175794698316,-0.2194929279641002,-0.21945497688329418,-15.69561129082089
1.066,-15.68146481192379,-0.21990731852794332,-0.21986945938569566,-15.683897399452547
1.067,-15.669762907709075,-0.220322274198286,-0.22028450906415747,-15.672192600319638
1.068,-15.658070082500155,-0.22073779602781968,-0.22070012695372332,-15.660496893745536
1.069,-15.646386336716702,-0.22115388506466852,-0.22111631408491556,-15.6488102800282
1.07,-15.634711670752125,-0.22157054235237866,-0.22153307148373047,-15.637132759440247
1.071,-15.623046084973716,-0.22198776892992006,-0.22195040017162804,-15.625464332229072
1.072,-15.611389579722687,-0.2224055658316701,-0.22236830116553952,-15.613804998616915
1.073,-15.599742155314331,-0.2228239340874169,-0.22278677547784886,-15.602154758800973
1.074,-15.588103812038048,-0.2232428747223641,-0.22320582411639744,-15.590513612953458
1.075,-15.576474550157496,-0.22366238875710434,-0.22362544808447762,-15.578881561221728
1.076,-15.564854369910652,-0.22408247720763685,-0.22404564838082514,-15.567258603728341
1.077,-15.553243271509931,-0.22450314108534297,-0.22446642599961886,-15.555644740571175
1.078,-15.54164125514226,-0.22492438139699877,-0.2248877819304712,-15.544039971823498
1.079,-15.530048320969193,-0.22534619914476042,-0.22530971715843273,-15.532444297534074
1.08,-15.51846446912699,-0.22576859532616292,-0.22573223266397477,-15.520857717727235
1.081,-15.506889699726722,-0.22619157093411754,-0.22615532942299868,-15.509280232402995
1.082,-15.495324012854361,-0.2266151269568994,-0.2265790084068167,-15.497711841537132
1.083,-15.48376740857089,-0.2270392643781568,-0.2270032705821623,-15.486152545081268
1.084,-15.472219886912375,-0.227463984176894,-0.22742811691117865,-15.474602342962974
1.085,-15.460681447890082,-0.22788928732747266,-0.2278535483514134,-15.463061235085856
1.086,-15.449152091490554,-0.2283151747996071,-0.22827956585581277,-15.451529221329645
1.087,-15.437631817675726,-0.2287416475583613,-0.22870617037272642,-15.440006301550298
1.088,-15.426120626383007,-0.2291687065641388,-0.2291333628458948,-15.428492475580068
1.089,-15.414618517525383,-0.22959635277268764,-0.2295611442144456,-15.416987743227626
1.09,-15.403125490991503,-0.23002458713509058,-0.22998951541289434,-15.405492104278109
1.091,-15.391641546645795,-0.23045341059775587,-0.23041847737113474,-15.394005558493273
1.092,-15.380166684328536,-0.23088282410242636,-0.23084803101443835,-15.382528105611517
1.093,-15.368700903855963,-0.23131282858616425,-0.23127817726344585,-15.371059745348028
1.094,-15.357244205020375,-0.23174342498135134,-0.23170891703417357,-15.359600477394839
1.095,-15.345796587590215,-0.23217461421568175,-0.2321402512379951,-15.348150301420937
1.096,-15.334358051310168,-0.2326063972121631,-0.23257218078164543,-15.336709217072356
