freq_ghz,s11_re,s11_im,s11_db,zactive_re_ohm,zactive_im_ohm
1.0,0.2871796780893345,0.27986814994694426,-7.937184150633682,143.10127082402667,95.44663756625907
1.0008,0.2878827079751973,0.2736205482258016,-8.020453392577274,144.72257449002444,94.03103357425259
1.0016,0.2884921841775079,0.26740291690857904,-8.104196916659586,146.30399246558602,92.56736829431796
1.0024,0.28900928202544623,0.2612165651942989,-8.188413685100045,147.84340282557423,91.05716960215021
1.0032,0.2894351919792308,0.25506276608017775,-8.273102623595632,149.33876223266907,89.50208857544975
1.004,0.28977111855821497,0.2489427564285444,-8.358262617967842,150.7881147744963,87.90389436816868
1.0048,0.2900182792867081,0.24285773706400374,-8.443892510546092,152.18960039164753,86.26446833118347
1.0056,0.2901779036582283,0.2368088728997577,-8.529991096274673,153.54146282220523,84.58579741841851
1.0064,0.2902512321188522,0.23079729309194175,-8.616557118530261,154.84205699276845,82.86996692576517
1.0072,0.29023951507026197,0.22482409122082925,-8.703589264636573,156.08985579138036,81.11915261790024
1.008,0.29014401189303496,0.21889032549781245,-8.791086161061251,157.2834561641122,79.33561230518005
1.0088,0.2899659899906722,0.21299701899698253,-8.879046368280676,158.42158448429734,77.52167693898085
1.0096,0.28970672385480273,0.207145159910227,-8.967468375296386,159.50310115133897,75.67974129914954
1.0104,0.2893674941519562,0.201335701824706,-9.056350593787037,160.52700438456768,73.81225435143747
1.0112,0.2889495868322405,0.19556956402158934,-9.14569135187883,161.49243318660453,71.92170935590649
1.012,0.28845429226021924,0.18984763179498895,-9.235488887516006,162.39866945993296,70.01063380926539
1.0128,0.28788290436822866,0.18417075678995676,-9.325741341413382,163.2451392697717,68.08157930484653
1.0136,0.28723671983233945,0.1785397573585153,-9.416446749570738,164.03141325565002,66.1371113935626
1.0144,0.28651703727111616,0.1729554189326467,-9.50760303532897,164.75720620320817,64.1797995276212
1.0152,0.2857251564672877,0.1674184944131846,-9.599208000947051,165.42237579649688,62.21220716614093
1.016,0.28486237761241,0.16192970457362915,-9.691259318676947,166.0269205792912,60.236882118180205
1.0168,0.28393000057454726,0.15648973847782904,-9.783754521314425,166.57097716156613,58.256347194078586
1.0176,0.28292932418898004,0.15109925391059725,-9.87669099220103,167.0548167141524,56.27309123065328
1.0184,0.28186164557190496,0.14575887782027377,-9.970065954652743,167.47884080066322,54.289560549680985
1.0192,0.2807282594570449,0.14046920677228592,-10.063876460790024,167.84357660093988,52.308150902446194
1.02,0.27953045755509065,0.13523080741283208,-10.15811937974161,168.14967158449605,50.33119994608229
1.0208,0.2782695279358243,0.13004421694174378,-10.252791385195678,168.39788769570472,48.360980290024955
1.0216,0.27694675443278133,0.12490994359370258,-10.347888942269023,168.58909511476196,46.39969314341402
1.0224,0.2755634160702567,0.11982846712694749,-10.443408293665557,168.72426565980498,44.4494625867099
1.0232,0.2741207865124509,0.11480023931864695,-10.539345445093966,168.8044658959839,42.51233048335437
1.024,0.27262013353452674,0.10982568446617308,-10.635696149913258,168.8308500168314,40.59025204009145
1.0248,0.2710627185153093,0.10490519989347076,-10.73245589297544,168.80465256201722,38.68509201762596
1.0256,0.26944979595137214,0.1000391564618157,-10.829619873632241,168.72718103358318,36.79862158682234
1.0264,0.2677826129922063,0.09522789908423332,-10.927182987873639,168.5998084701032,34.93251581959926
1.0272000000000001,0.26606240899615724,0.09047174724287177,-11.02513980956519,168.42396603500825,33.08835179818622
1.028,0.26429041510681756,0.08577099550870454,-11.123484570750026,168.2011356716336,31.267607321523577
1.0288,0.26246785384952087,0.08112591406288264,-11.222211140982603,167.93284287348737,29.47166018326136
1.0296,0.2605959387475909,0.07653674921915746,-11.321313005660091,167.62064961389336,27.701787992173855
1.0304,0.25867587395797953,0.07200372394677713,-11.42078324331819,167.26614747461923,25.95916850275327
