freq_ghz,s11_re,s11_im,s11_db,zin_re_ohm,zin_im_ohm
1.0,0.2922502522080398,0.8039360763267922,-1.356530416312567,23.384868843968977,140.15341954692406
1.0008,0.2998897098236862,0.7993167100515933,-1.3736718023207795,24.016311761895327,141.58956338905787
1.0016,0.3074672219210423,0.7946079859434311,-1.3910050296654095,24.66797414315084,143.04329120757149
1.0024,0.3149814917901913,0.7898107059976249,-1.408531181286283,25.340595315118563,144.5148457881899
1.0032,0.32243123346491687,0.7849256942863824,-1.4262513425860488,26.034945023616597,146.00446716707683
1.004,0.3298151721414294,0.7799537968195824,-1.444166601401201,26.75182475922834,147.51239190337668
1.0048,0.33713204459578533,0.7748958813970921,-1.4622780479712292,27.49206913880348,149.03885227972506
1.0056,0.34438059959976725,0.7697528374526258,-1.4805867749058819,28.25654734361311,150.58407542448342
1.0064,0.3515595983350811,0.7645255758891328,-1.4990938771505202,29.04616461554637,152.14828234895586
1.0072,0.35866781480570914,0.759215028905705,-1.5178004519494777,29.861863812609766,153.73168689229374
1.008,0.3657040362482031,0.7538221498160226,-1.536707598807411,30.70462702482793,155.334494566186
1.0088,0.3726670635397829,0.7483479128583057,-1.5558164194487731,31.575477251457382,156.9569012908153
1.0096,0.37955571160403806,0.7427933129968217,-1.5751280177750528,32.47548014017164,158.59909201285697
1.0104,0.38636880981405136,0.7371593657149387,-1.5946434998199852,33.40574578860046,160.26123919557074
1.0112,0.3931052023927969,0.7314471067997116,-1.6143639737027744,34.36743060826175,161.9435011702555
1.012,0.39976374881057397,0.725657592118076,-1.6342905495790494,35.36173925050255,163.64602033747494
1.0128,0.40634332417936914,0.7197918973846108,-1.6544243395897218,36.3899265936033,165.36892120559526
1.0136,0.41284281964388825,0.7138511179209359,-1.674766457807699,37.45329978961921,167.11230825318455
1.0144,0.41926114276912524,0.7078363684067611,-1.6953180201823017,38.55322036888009,168.8762636008365
1.0152,0.4255972179242819,0.7017487826225913,-1.716080144481592,39.691106399308815,170.66084447689136
1.016,0.4318499866628034,0.6955895131841828,-1.737053950232342,40.86843469681431,172.46608046037295
1.0168,0.4380184080984246,0.6893597312687205,-1.7582405586578111,42.086743082013385,174.29197048329493
1.0176,0.4441014592769614,0.6830606263328078,-1.7796410926133122,43.3476326773366,176.13847957318234
1.0184,0.45009813554370404,0.676693405822321,-1.8012566765192752,44.652770237225376,178.00553531536767
1.0192,0.45600745090623107,0.6702592948741244,-1.8230884362922675,46.00389050259402,179.8930240132373
1.02,0.4618284383924084,0.6637595360097778,-1.8451374992735416,47.402798568934735,181.80078652316269
1.0208,0.4675601504034543,0.657195388821231,-1.8674049941552895,48.851372255457655,183.72861373942123
1.0216,0.4732016590618156,0.6505681296486181,-1.8898920509045636,50.35156446035073,185.67624170287903
1.0224,0.47875205655370234,0.6438790512501954,-1.9125998006848752,51.90540548466363,187.64334630572665
1.0232,0.4842104554660959,0.637129462464501,-1.9355293757753786,53.51500530438242,189.62953756304185
1.024,0.4895759891180146,0.6303206878648214,-1.9586819094877788,55.18255576695314,191.6343534204596
1.0248,0.49484781188587534,0.6234540674060384,-1.9820585360808476,56.910332684790426,193.657253065815
1.0256,0.5000250995227554,0.6165309560639581,-2.0056603906724844,58.70069779411675,195.69760971126442
1.0264,0.5051070494713372,0.6095527234672053,-2.029488609149607,60.55610054280105,197.75470281117015
1.0272000000000001,0.5100928811704205,0.6025207535217736,-2.053544328075433,62.47907966561743,199.82770968001964
1.028,0.5149818363547167,0.5954364440283634,-2.0778286845945866,64.47226449950736,201.91569647379632
1.0288,0.5197731793478346,0.5883012062925641,-2.1023428163358036,66.53837598495006,204.01760849778756
1.0296,0.5244661973482057,0.5811164647280571,-2.1270878613121766,68.68022729232891,206.13225980366266
1.0304,0.5290602007077956,0.5738836564529136,-2.1520649578190665,70.9007240042656,208.2583220390854
1.0312,0.5335545232034073,0.5666042308791011,-2.1772752443298886,73.20286377614515,210.39431251412088
1.032,0.5379485223004093,0.5592796492953735,-2.2027198593892425,75.5897353874486,212.53858145045965
1.0328,0.5422415794086877,0.5519113844436566,-2.2283999415037483,78.06451708607293,214.68929838214058
1.0336,0.5464331001306513,0.5445009200890198,-2.2543166290309196,80.63047411646195,216.84443768021964
1.0344,0.5505225145011275,0.5370497505834724,-2.280471060065227,83.29095531003802,219.00176317887946
1.0352,0.5545092772189575,0.529559380423654,-2.306864372322097,86.0493886033015,221.15881188706226
1.036,0.5583928678701046,0.5220313238025883,-2.3334977030198853,88.90927533486975,223.31287677809152
1.0368,0.5621727911421576,0.514467104155736,-2.3603721887587943,91.87418315782041,225.4609886602597
1.0376,0.5658485770299879,0.5068682537013538,-2.3874889653985956,94.94773738823453,227.59989714425006
1.0384,0.5694197810324628,0.49923631297552523,-2.4148491679330912,98.13361059454684,229.72605073900897
1.0392,0.5728859843400078,0.4915728303618614,-2.4424539303630803,101.43551021601694,231.83557612658393
1.04,0.5762467940128757,0.4838793616161795,-2.4703043855667213,104.85716398199335,233.92425668897448
1.0408,0.5795018431499621,0.4761574693862921,-2.4984016651677603,108.40230288755835,235.9875103866496
1.0416,0.582650791048025,0.4684087227270781,-2.526746899401707,112.07464146577988,238.02036711951672
1.0424,0.5856933233511288,0.46063469661110046,-2.5553412169797274,115.87785508284597,240.01744573722834
1.0432,0.5886291521902145,0.4528369714348955,-2.5841857449504317,119.81555397068402,241.97293090733334
1.044,0.5914580163126071,0.4450171325212064,-2.6132816085595243,123.89125370295965,243.8805500971666
1.0448,0.5941796812013416,0.43717676961733787,-2.6426299311074275,128.10834181592455,245.73355097907205
1.0456,0.5967939391842024,0.4293174763898525,-2.6722318338046036,132.47004027655828,247.52467962869744
1.0464,0.5993006095322815,0.42144084991585423,-2.7020884356250843,136.97936350839268,249.24615995277193
1.0472,0.6016995385479995,0.4135484901710472,-2.7322008531578224,141.63907170205795,250.88967485608111
1.048,0.6039905996424415,0.405641999514852,-2.76257020045585,146.45161916477588,252.44634973666828
1.0488,0.606173693401867,0.3977229821727867,-2.793197588883727,151.41909750304842,253.90673898313187
1.0496,0.6082487476433477,0.38979304371633583,-2.8240841269628043,156.54317348784687,255.26081623712707
1.0504,0.6102157174593732,0.38185379054062746,-2.8552309202144044,161.82502152415844,256.4979692760202
1.0512,0.6120745852513596,0.37390682934006486,-2.886639071001307,167.26525073954613,257.60700046309967
1.052,0.6138253607519494,0.36595376658226286,-2.918309678367142,172.8638268215283,258.57613380263587
1.0528,0.6154680810360508,0.35799620798051324,-2.950243837873594,178.6199888738529,259.3930297208005
1.0536,0.617002810520491,0.3500357579650049,-2.982442641436163,184.53216172883631,260.04480876615713
1.0544,0.6184296409522467,0.3420740191531482,-3.0149071771576006,190.59786434824883,260.5180854797116
1.0552,0.6197486913851892,0.3341125918191871,-3.0476385291595616,196.81361516962872,260.7990137175423
1.056,0.6209601081452495,0.32615307336344546,-3.0806377774124085,203.17483550735324,260.87334471135824
1.0568,0.6220640647839956,0.31819705778144897,-3.1139059975629415,209.6757523966387,260.72649911564736
1.0576,0.6230607620205528,0.31024613513319976,-3.1474442607603614,216.309302569575,260.3436542051888
1.0584,0.623950427671823,0.3023018910129132,-3.1812536334803827,223.0670395691725,259.7098472444843
1.0592,0.6247333165710175,0.29436590601948914,-3.2153351773471024,229.9390463313757,258.8100958419392
1.06,0.6254097104744216,0.2864397552279978,-3.2496899489533684,236.91385588413004,257.62953581790964
1.0608,0.6259799179564289,0.27852500766250426,-3.284318999678861,243.9783831120035,256.1535767505813
1.0616,0.6264442742928105,0.27062322577047676,-3.319223375506483,251.11787079659385,254.36807491238224
1.0624,0.6268031413322397,0.2627359648991348,-3.3544041168365224,258.31585334587936,252.25952277186
1.0632,0.6270569073560642,0.2548647727739647,-3.389862258299155,265.5541417468764,249.81525361524683
1.064,0.6272059869263725,0.24701118897977004,-3.4255988285645933,272.8128332903989,247.02365914817008
1.0648,0.6272508207223565,0.23917674444451514,-3.4616148501513653,280.07034949999564,243.87441718708084
1.0656,0.627191875365026,0.23136296092625822,-3.497911339232494,287.30350542579606,240.35872576588417
1.0664,0.6270296432303075,0.22357135050351223,-3.534489305439515,294.487613018617,236.46953919702477
1.0672,0.6267646422505958,0.2158034150692866,-3.5713497516643535,301.59662066699536,232.2018008765698
1.068,0.6263974157048127,0.20806064582915323,-3.6084936738588897,308.6032901546301,227.55266695456947
1.0688,0.6259285319970399,0.20034452280361698,-3.6459220608323712,315.47941128445217,222.5217144544491
1.0696,0.6253585844238259,0.1926565143350719,-3.683635894046422,322.1960532370914,217.1111270695704
1.0704,0.6246881909302441,0.18499807659969839,-3.7216361474074984,328.7238504192342,211.32585174060935
1.0712,0.6239179938547996,0.17737065312452946,-3.75992378705706,335.03331915969846,205.17371926721825
1.072,0.6230486596632965,0.16977567431002807,-3.798499771159134,341.0952001894016,198.66552266449327
1.0728,0.6220808786718027,0.16221455695847078,-3.837365049684895,346.8808204693638,191.81504775653465
1.0735999999999999,0.6210153647587949,0.15468870380838773,-3.8765205641949576,352.3624666888138,184.63905160461636
1.0744,0.6198528550666719,0.14719950307539711,-3.915967247618336,357.5137617261321,177.1571857735606
1.0752,0.6185941096927344,0.13974832799969475,-3.95570602402871,362.3100346271755,169.39186310043738
1.076,0.6172399113698275,0.13233653640047383,-3.99573780841732,366.72867427587903,161.36806847730955
1.0768,0.615791065136765,0.1249654702375856,-4.036063506462832,370.7494569602071,153.1131161071537
1.0776,0.6142483979987483,0.11763645518067578,-4.076684014297592,374.35483849898077,144.65635763877137
1.0784,0.6126127585779362,0.11035080018610487,-4.1176002182703595,377.5302024898424,136.02884742498256
1.0792,0.6108850167543545,0.10310979708190375,-4.158812994705357,380.2640575354072,127.26297277261617
1.08,0.6090660632973509,0.09591472016100436,-4.200323209657439,382.5481779442782,118.39205836696641
1.0808,0.607156809487812,0.08876682578305944,-4.24213171866288,384.3776843026079,109.44995497982902
1.0816,0.6051581867313174,0.0816673519850318,-4.2842393664862835,385.7510623684667,100.47062305570459
1.0824,0.6030711461625048,0.0746175181008536,-4.326646986862582,386.6701208430093,91.48772179211505
