freq_ghz,bare_zdiff_re,bare_zdiff_im,s1_zdiff_re,s1_zdiff_im,bare_branch_nf_db,s1_branch_nf_db,delta_nf_db,bare_branch_te_k,s1_branch_te_k,delta_te_k,bare_branch_zs_re,bare_branch_zs_im,s1_branch_zs_re,s1_branch_zs_im,nfmin_db
1.1504,73.42651544375465,105.77932509833926,73.76000117641081,103.16671250345465,0.33612201101333994,0.3298150379812593,-0.006306973032080665,23.335930746844305,22.881223839820002,-0.4547069070243026,36.713257721877326,52.88966254916963,36.880000588205405,51.583356251727324,0.21496287806419542
1.1512,73.69393082542965,106.00420510624055,74.03446323038025,103.38608012831187,0.3358453309974806,0.3295120444990334,-0.0063332864984472215,23.31596939978178,22.859395870877293,-0.4565735289044852,36.84696541271482,53.002102553120274,37.01723161519013,51.69304006415594,0.21488287662585873
1.152,73.96236403325604,106.22890674158052,74.3099671530341,103.60524315821253,0.33557071756564794,0.3292113153352869,-0.006359402230361022,23.296158405864333,22.83773253160538,-0.4584258742589533,36.98118201662802,53.11445337079026,37.15498357651705,51.802621579106265,0.21480287371378745
1.1528,74.23182012738691,106.45342545057997,74.58651803598667,103.82419720380469,0.33529815391117707,0.328912833884728,-0.006385320026449093,23.27649652438994,22.816232591960034,-0.46026393242990693,37.115910063693455,53.226712725289985,37.293259017993336,51.91209860190234,0.21472286932792725
1.1536,74.50230416836988,106.67775663198387,74.86412098034751,104.04293782329636,0.33502762336514735,0.3286165836557406,-0.006411039709406763,23.256982525110523,22.794894830670515,-0.4620876944400081,37.25115208418494,53.338878315991934,37.432060490173754,52.02146891164818,0.2146428634682248
1.1544,74.77382121703258,106.90189563668376,75.14278109650935,104.2614605219826,0.334759109394375,0.3283225482691332,-0.006436561125241769,23.237615188078216,22.77371803514032,-0.46389715293789635,37.38691060851629,53.45094781834188,37.571390548254676,52.1307302609913,0.2145628561346239
1.1552,75.04637633436091,107.12583776733663,75.4225035039298,104.47976075176824,0.334492595599462,0.32803071145691276,-0.0064618841425492235,23.218393303496,22.752701001349948,-0.46569230214605284,37.52318816718046,53.56291888366832,37.7112517519649,52.23988037588412,0.21448284732707124
1.156,75.31997458137283,107.34957827798044,75.70329333090835,104.69783391068896,0.3342280657128598,0.32774105706106954,-0.006487008651790249,23.199315671569458,22.73184253376066,-0.46747313780879907,37.659987290686416,53.67478913899022,37.851646665454176,52.34891695534448,0.2144028370455124
1.1568,75.5946210189857,107.57311237364728,75.98515571435745,104.91567534242817,0.33396550359698995,0.327453569032381,-0.006511934564608968,23.180381102362865,22.71114144521959,-0.46923965714327665,37.79731050949285,53.78655618682364,37.99257785717872,52.45783767121409,0.2143228252898932
1.1576,75.87032070787697,107.79643520997207,76.26809579956762,105.13328033583124,0.33370489324238695,0.3271682314292308,-0.006536661813156153,23.161588415657,22.69059655686627,-0.4709918587907289,37.935160353938485,53.89821760498604,38.13404789978381,52.56664016791562,0.2142428120601592
