freq_ghz,bare_zdiff_re,bare_zdiff_im,s1_zdiff_re,s1_zdiff_im,bare_branch_nf_db,s1_branch_nf_db,delta_nf_db,bare_branch_te_k,s1_branch_te_k,delta_te_k,bare_branch_zs_re,bare_branch_zs_im,s1_branch_zs_re,s1_branch_zs_im,nfmin_db
1.1504,109.23377502478843,136.16731520571997,111.3554086498337,140.49161024276583,0.3257165028519502,0.3313871084182687,0.005670605566318487,22.586090045268744,22.99450189836442,0.40841185309567507,54.616887512394214,68.08365760285999,55.67770432491685,70.24580512138292,0.21496287806419542
1.1512,109.87727122195048,136.36665326988842,112.0077488309155,140.68454317942195,0.32532806308258,0.3309939379258114,0.005665874843231389,22.55813310731291,22.966167522181664,0.40803441486875514,54.93863561097524,68.18332663494421,56.00387441545775,70.34227158971098,0.21488287662585873
1.152,110.52373343638628,136.56321542059035,112.6630148394264,140.8745833417573,0.3249428675958843,0.3306038055456512,0.005660937949766909,22.53041213729271,22.938054627135763,0.4076424898430524,55.26186671819314,68.28160771029518,56.3315074197132,70.43729167087865,0.21480287371378745
1.1528,111.17316139132632,136.75696446747668,113.32120495043256,141.06169311793522,0.32456088415607,0.33021668004284455,0.005655795886774562,22.502924753291897,22.91016090351581,0.4072361502239126,55.58658069566316,68.37848223373834,56.66060247521628,70.53084655896761,0.21472286932792725
1.1536,111.82555445717428,136.94786290969822,113.98231706705576,141.2458345992916,0.32418208083241523,0.3298325304821509,0.005650449649735656,22.47566859668746,22.88248406446878,0.40681546778132116,55.91277722858714,68.47393145484911,56.99115853352788,70.6229172996458,0.2146428634682248
1.1544,112.48091164419222,137.13587293684506,114.64634871313166,141.42696958171678,0.3238064259959192,0.3294513262247172,0.005644900228797989,22.448641331881625,22.85502184573526,0.40638051385363383,56.24045582209611,68.56793646842253,57.32317435656583,70.71348479085839,0.2145628561346239
1.1552,113.13923159510544,137.32095642999982,115.3132970257955,141.60505956715824,0.3234338883159953,0.32907303692480877,0.005639148608813482,22.42184064603753,22.827772005389168,0.40593135935163716,56.56961579755272,68.66047821499991,57.65664851289775,70.80252978357912,0.21448284732707124
1.156,113.8005125776334,137.5030749629104,115.98315874800038,141.78006576524942,0.3230644367571995,0.32869763252657835,0.005633195769378874,22.395264248817973,22.800732323580647,0.4054680747626733,56.9002562888167,68.7515374814552,57.99157937400019,70.89003288262471,0.2144028370455124
1.1568,114.46475247694174,137.68218980328328,116.65593022096493,141.9519490950661,0.32269804057601303,0.32832508326088383,0.005627042684870798,22.368909872128558,22.773900602282996,0.404990730154438,57.23237623847087,68.84109490164164,58.32796511048247,70.97597454753306,0.2143228252898932
1.1576,115.13194878801993,137.85826191420117,117.33160737655467,142.12067018701288,0.32233466931765825,0.3279553596421408,0.005620690324482536,22.342775269863786,22.74727466504255,0.4044993951787639,57.56597439400996,68.92913095710058,58.665803688277336,71.06033509350644,0.2142428120601592
1.1584,115.80209860798585,138.03125195566884,118.0101857295979,142.286189384845,0.32197429281296014,0.32758843246522457,0.005614139652264427,22.316858217656886,22.72085235673266,0.403994139075774,57.90104930399293,69.01562597783442,59.00509286479895,71.1430946924225,0.21416279735625615
1.1592,116.47519862831462,138.20112028628833,118.69166037013474,142.4484667478257,0.32161688117524795,0.3272242728024072,0.0056073916271592306,22.291156512633076,22.694631543310592,0.4034750306775159,58.23759931415731,69.10056014314416,59.34583018506737,71.22423337391285,0.21408278117812973
1.16,117.15124512699819,138.36782696506896,119.3760259556055,142.6074620530247,0.32126240479729445,0.32686285200033516,0.005600447203040704,22.265667973165947,22.66861011157787,0.40294213841192317,58.575622563499095,69.18391348253448,59.68801297780275,71.30373102651235,0.21400276352572561
1.1608,117.83023396063217,138.53133175337345,120.06327670297527,142.76313479775914,0.32091083434830125,0.32650414167705194,0.005593307328750685,22.240390438637675,22.64278596894426,0.4023955303065847,58.915116980316085,69.26566587668673,60.031638351487636,71.38156739887957,0.21392274439899037
1.1616,118.51216055643314,138.69159411700363,120.75340638079817,142.91544420218088,0.32056214077091405,0.32614811371904906,0.0055859729481350096,22.215321769201857,22.61715704319423,0.40183527399237207,59.25608027821657,69.34579705850182,60.376703190399084,71.45772210109044,0.21384272379786784
1.1624,119.19701990418997,138.8485732284308,121.44640830122505,143.06434921201355,0.32021629527828527,0.32579474027836586,0.00557844500008059,22.19045984555016,22.591721282257385,0.4012614367072267,59.598509952094986,69.4242866142154,60.723204150612524,71.53217460600678,0.2137627017223046
1.1632,119.88480654814522,139.00222796917097,122.14227531195137,143.20980850144124,0.31987326935117,0.3254439937697251,0.005570724418555106,22.16580256868183,22.566476653981866,0.4006740853000359,59.94240327407261,69.50111398458549,61.07113765597568,71.60490425072062,0.2136826781722464
1.164,120.57551457881479,139.15251693231093,122.84099978811328,143.35178047615392,0.3195330347350594,0.3250958468676982,0.005562812132638817,22.141347859676365,22.54142114591033,0.4000732862339653,60.287757289407395,69.57625846615547,61.42049989405664,71.67589023807696,0.21360265314763874
1.1648,121.26913762474189,139.29939842518644,123.54257362412825,143.49022327655078,0.3191955634373536,0.32475027250391775,0.005554709066564134,22.117093659469397,22.516552765059664,0.3994591055902674,60.634568812370944,69.64969921259322,61.771286812064126,71.74511163827539,0.21352262664842742
1.1656,121.96566884418998,139.44283047221757,124.24698822548496,143.62509478110604,0.3188608277245656,0.3244072438643205,0.005546416139754928,22.093037928631244,22.491869537703394,0.39883160907215043,60.98283442209499,69.72141523610878,62.12349411274248,71.81254739055302,0.213442598674558
1.1664,122.66510091677706,139.58277081790334,124.95423450048636,143.75635260990015,0.318528800119568,0.32406673438642364,0.005537934266855615,22.069178647148956,22.46736950915674,0.39819086200778386,61.33255045838853,69.79138540895167,62.47711725024318,71.87817630495007,0.21336256922597618
1.1672,123.36742603504989,139.71917692997863,125.66430285194342,143.8839541283189,0.31819945339886996,0.3237287177566442,0.005529264357774233,22.04551381421091,22.443050743565294,0.3975369293543842,61.683713017524944,69.85958846498932,62.83215142597171,71.94197706415945,0.2132825383026276
1.168,124.07263589600518,139.85200600273896,126.37718316882686,144.00785645092463,0.3178727605899314,0.3233931679076447,0.005520407317713305,22.022041447994507,22.41891132369586,0.396869875701352,62.03631794800259,69.92600300136948,63.18859158441343,72.00392822546232,0.21320250590445883
1.1688,124.78072169255486,139.98121496053363,127.09286481787571,144.12801644550234,0.3175486949685063,0.3230600590157178,0.005511364047211531,21.998759585456323,22.394949350730457,0.3961897652741335,62.39036084627743,69.99060748026682,63.546432408937854,72.06400822275117,0.21312247203141366
1.1696,125.49167410494071,140.10676046143232,127.81133663516626,144.24439073728317,0.3172272300560298,0.3227293654982051,0.00550213544217526,21.97566628212578,22.37116294406323,0.39549666193745026,62.74583705247036,70.05338023071616,63.90566831758313,72.12219536864158,0.21304243668343867
1.1704,126.20548329210088,140.22859890106864,128.53258691764648,144.3569357133504,0.3169083396170331,0.3224010620109447,0.005492722393911631,21.95275961190117,22.347550241099672,0.3947906291985035,63.10274164605044,70.11429945053432,64.26629345882324,72.1784678566752,0.21296239986047946
1.1712,126.92213888298892,140.3466864166631,129.25660341463455,144.46560752722883,0.31659199765658463,0.3220751234457562,0.005483125789171539,21.93003766684801,22.324109397058944,0.39407173021093556,63.46106944149446,70.17334320833154,64.62830170731728,72.23280376361441,0.2128823615624817
