freq_ghz,s11_re,s11_im,s11_db,s12_re,s12_im,s12_db,s21_re,s21_im,s21_db,s22_re,s22_im,s22_db,zin1_re_ohm,zin1_im_ohm,zin2_re_ohm,zin2_im_ohm
1.0,0.5226562088936495,0.5367411654595033,-2.5083545045983815,-0.07004987412499313,0.08506208781470495,-19.156903267108316,-0.07000930416721572,0.08497955586535427,-19.16396071476607,0.4759320661612667,0.5798331250775778,-2.4970935887380374,85.0355580366128,208.06010871500754,71.58543030338882,189.84354860606734
1.0008,0.5277865591847781,0.5285976740917843,-2.5338591830453683,-0.06890239069158663,0.08582689882530142,-19.16719744083274,-0.06885990768180263,0.08573998913082756,-19.174647755752098,0.4820162487061651,0.5717836185742503,-2.523736845992246,87.9826704807294,210.428576988681,74.0409095382963,192.1174955530796
1.0016,0.5328001762617651,0.5203957023807966,-2.5595145268703225,-0.06774122556055971,0.08656921108811619,-19.17821560223112,-0.0676971639619951,0.08647788670649822,-19.18604767681382,0.48798014547383467,0.5636578871062131,-2.5505423798240585,91.0496404921584,212.80275976563678,76.59676867343009,194.40683914956185
1.0024,0.5376961187925691,0.5121373151397894,-2.585318632633503,-0.06656697023292243,0.0872886948163458,-19.18995734150474,-0.06652166220192635,0.08719293709864576,-19.1981597490921,0.4938224111393487,0.5554581701851973,-2.577507701018633,94.24144824996196,215.17944763038878,79.25737400807964,196.7095642911656
1.0032,0.5424734908580419,0.5038245967337,-2.6112695570761604,-0.06538022584725689,0.08798503991283003,-19.202422062664542,-0.06533400024912665,0.08788484820426619,-19.210983076128212,0.49954175271182905,0.5471867379377617,-2.604630263779249,97.56321653865822,217.55506164806374,82.02725156938152,199.02339214458675
1.004,0.5471314424438153,0.4954596498606268,-2.6373653177828897,-0.06418160238198506,0.08865795628871431,-19.215608985644057,-0.06413478383251404,0.08855334757391635,-19.224516596309115,0.5051369303828167,0.5388458896030824,-2.6319074666609255,101.02020174362792,219.92562104171694,84.91108565098142,201.34575514425305
1.0048,0.5516691698932603,0.48704459431883235,-2.6636038938776667,-0.06297171784655627,0.08930717414397801,-19.229517148589228,-0.0629246257826866,0.08919818263852385,-19.238759085448407,0.51060675832308,0.5304379520030464,-2.6593366535599445,104.61778209143938,222.28670878024943,87.91371581382171,203.67377005048425
1.0056,0.5560859163210039,0.47858156576078104,-2.6899832267531165,-0.06175119746365942,0.08993244420947588,-19.244145410318175,-0.06170414524644542,0.08981912090002744,-19.2537091594957,0.5159501054267882,0.521965277986777,-2.6869151147586763,108.3614427136384,224.6334350819483,91.04013207105703,206.00420898969526
1.0064,0.5603809719866072,0.4700727144356591,-2.7165012208326615,-0.060520672844556186,0.0905335379502739,-19.259492452943952,-0.06047396689745534,0.09041595008583246,-19.26936527736711,0.5211658960021267,0.5134302448516785,-2.714640088025426,112.25675706643328,226.9603988762946,94.29546794241442,208.33346841078045
1.0072,0.5645536746280475,0.4615202039218331,-2.74315574436538,-0.05928078115962843,0.09111024773019161,-19.2755567846528,-0.05923472014493172,0.09098847826717868,-19.28572574388937,0.5262531104075265,0.5048352527431251,-2.7425087597688163,116.30936419061135,229.26164731365816,97.68499102332106,210.65753591042943
1.008,0.5686034097546891,0.4529262098507984,-2.769944630252896,-0.05803216430622913,0.09166238693758164,-19.29233674263028,-0.057987038342228375,0.09153653394162166,-19.302788712849697,0.5312107856327246,0.49618272303504113,-2.770518266245951,120.52494124676005,231.53063347039452,101.21409067087913,212.97195490482662
1.0088,0.5725296108995466,0.4442929186240507,-2.7968656769080575,-0.056775468075886994,0.09218979007251316,-19.309830496127336,-0.05673155799715053,0.09205996607994411,-19.320552190143918,0.5360380158240574,0.4874750966935057,-2.7986656948239492,124.90917071172217,233.76017246739372,104.88826236262992,215.27178715726828
1.0096,0.5763317598306406,0.4356225261244483,-2.8239166491447776,-0.05551134132290285,0.09269231279563644,-19.328036049658174,-0.055468917985796215,0.09255864413790744,-19.339014037014774,0.540733952753409,0.47871483262568737,-2.8269480852937923,129.4677015745126,235.94239630495107,108.71308823520386,217.55157321189841
1.0104,0.5800093867213587,0.4269172364235486,-2.851095279098525,-0.05424043513632618,0.09316983193913124,-19.346951246321634,-0.05419975877167296,0.09303245803335956,-19.358171973372574,0.5452978062303849,0.46990440601632705,-2.8553624312358905,134.20610382593483,238.06870781790315,112.69421325924968,219.80529083468105
1.0112,0.5835620702797886,0.41817926048640974,-2.8783992671769725,-0.05296340201725451,0.09362224548025436,-19.36657377123765,-0.052924721631785576,0.0934813180893074,-19.378023581190362,0.5497288444573909,0.46104630665401936,-2.8839056814363735,139.1298154983129,240.12973427401687,116.83731645525096,222.0263116254666
1.012,0.5869894378370207,0.4094108148754229,-2.9058262830399926,-0.05168089506335842,0.09404947247810715,-19.3869011550901,-0.05164444789134632,0.09390515494364983,-19.398566307965552,0.5540263943273422,0.4521430372496244,-2.91257474135302,144.24408148339592,242.11528127737455,121.14807650328473,224.2073560413797
