freq_ghz,s11_re,s11_im,s11_db,zin_re_ohm,zin_im_ohm
1.0,0.2914457113364195,0.8068322285924258,-1.3317007413634152,22.903284562385913,139.9502233933706
1.0008,0.2990311004370879,0.8022568048229967,-1.3487494516098404,23.52164597134129,141.37015363340205
1.0016,0.3065557896741625,0.7975933850803623,-1.3659881919169923,24.159667721468228,142.80734945048692
1.0024,0.3140185168431319,0.7928427325632597,-1.383418134395252,24.818064939978147,144.26205095923933
1.0032,0.3214180293519607,0.7880056315966433,-1.4010404555939027,25.497582042377527,145.73449587337777
1.004,0.32875308461092384,0.7830828875250273,-1.41885633647734,26.19899400599046,147.22491882392177
1.0048,0.336022450422073,0.7780753265983088,-1.4368669623990558,26.923107696579578,148.73355060975317
1.0056,0.34322490536813927,0.7729837958500566,-1.4550735230733673,27.67076324954079,150.26061737469018
1.0064,0.3503592392007621,0.7678091629682365,-1.4734772125447095,28.442835507063073,151.80633970475563
1.0072,0.3574242532279131,0.762552316158308,-1.492079229154685,29.240235512543094,153.37093163880365
1.008,0.36441876070032503,0.7572141639987,-1.5108807755066722,30.063912063393115,154.9545995850998
1.0088,0.37134158719683735,0.7517956352886069,-1.5298830584280032,30.914853323218928,156.55754113587363
1.0096,0.3781915710084614,0.7462976788881016,-1.549087288929656,31.79408849412553,158.17994377119865
1.0104,0.3849675635210339,0.7407212635505245,-1.56849468216351,32.70268954965846,159.82198344288085
1.0112,0.39166842959631987,0.7350673777471246,-1.5881064573770909,33.64177302857982,161.48382302829813
1.012,0.3982930479513784,0.7293370294839593,-1.607923837865691,34.61250188930847,163.16561064333314
1.0128,0.4048403115360668,0.7235312461109984,-1.6279480509220172,35.616087424433935,164.86747780271585
1.0136,0.41130912790849905,0.7176510741234565,-1.6481803277831186,36.65379123419323,166.58953741517885
1.0144,0.4176984196083019,0.7116975789553097,-1.6686219035748662,37.72692725722198,168.33188159988106
1.0152,0.4240071245275332,0.7056718447650021,-1.6892740172536658,38.83686385618954,170.0945793095456
1.016,0.430234196279044,0.6995749742133596,-1.7101379115454831,39.98502595513084,171.8776737446647
1.0168,0.4363786045621801,0.6934080882336557,-1.7312148328822887,41.17289722437426,173.68117954201975
1.0176,0.44243933552559395,0.6871723257938805,-1.7525060313357856,42.40202230788389,175.50507971954053
1.0184,0.44841539212703246,0.6808688436511959,-1.774012760548406,43.67400908662139,177.3493223582998
1.0192,0.4543057944899418,0.6744988160985903,-1.7957362776614132,44.99053097012945,179.21381700113315
1.02,0.4601095802566423,0.6680634347037309,-1.8176778432406513,46.35332920694566,181.09843074599377
1.0208,0.4658258049379982,0.6615639080400431,-1.8398387211991967,47.76421520261667,183.00298401079917
1.0216,0.47145354225931857,0.6550014614100462,-1.8622201787173351,49.225072832020516,184.92724594504628
1.0224,0.4769918845023487,0.6483773365609484,-1.8848234861597837,50.7378607303512,186.87092946204805
1.0232,0.48243994284317265,0.6416927913925111,-1.9076499169903003,52.304614544462986,188.83368586417524
1.024,0.48779684768582915,0.6349490996572832,-1.930700747683134,53.92744912323861,190.81509903202254
1.0248,0.49306174899145855,0.6281475506531544,-1.9539772576321037,55.60856062230282,192.81467914701804
1.0256,0.4982338166028071,0.6212894489083276,-1.9774807290566465,57.350228494553,194.83185591563557
1.0264,0.5033122405638828,0.614376113858749,-2.0012124469050545,59.15481733372788,196.86597126211473
1.0272000000000001,0.5082962314345963,0.6074088795179973,-2.025173698755151,61.02477853346972,198.91627145550066
1.028,0.5131850206001717,0.6003890941397683,-2.049365774711875,62.96265171896858,200.98189863588365
1.0288,0.5179778605751594,0.5933181198729126,-2.0737899673025035,64.97106590239888,203.0618817040948
1.0296,0.5226740253018566,0.586197332409196,-2.098447571368635,67.05274030671458,205.15512653877613
1.0304,0.5272728104429178,0.57902812062379,-2.123339883955647,69.21048479514208,207.26040550485547
1.0312,0.5317735336679982,0.5718118862085297,-2.148468204199711,71.44719983567656,209.37634621810466
1.032,0.5361755349342364,0.5645500432981523,-2.17383383321123,73.7658759210127,211.50141953171868
1.0328,0.5404781767603214,0.5572440180894392,-2.1994380739565784,76.16959235480509,213.63392671291408
1.0336,0.5446808444940558,0.549895248453473,-2.225282231136305,78.66151530454133,215.77198578060296
1.0344,0.5487829465731143,0.5425051835410603,-2.2513676110610743,81.24489501000035,217.91351697928025
1.0352,0.5527839147788978,0.535075283381404,-2.277695521524742,83.92306202398683,220.0562273698303
1.036,0.5566832044832121,0.5276070184741725,-2.3042672716749033,86.69942234889224,222.1975945249723
1.0368,0.5604802948876222,0.5201018693750636,-2.3310841718807347,89.57745131869626,224.33484932604733
1.0376,0.5641746892553067,0.5125613262749626,-2.358147533598165,92.560686061335,226.46495786893982
1.0384,0.5677659151351696,0.5049868885728716,-2.3854586692324204,95.65271636101691,228.5846025004673
1.0392,0.571253524578061,0.49738006444267346,-2.413018891998186,98.85717372434397,230.69016202305787
1.04,0.5746370943449051,0.48974237039392665,-2.440829515777077,102.17771843805747,232.7776911251785
1.0408,0.5779162261065571,0.48207533082682674,-2.468891854972413,105.61802439036349,234.84289911833284
