freq_ghz,s11_re,s11_im,s11_db,s12_re,s12_im,s12_db,s21_re,s21_im,s21_db,s22_re,s22_im,s22_db,zin1_re_ohm,zin1_im_ohm,zin2_re_ohm,zin2_im_ohm
1.0,0.2628046914142259,0.7990616351283741,-1.5023316518702376,-0.01561918739423529,0.00630739391948856,-35.470760179034784,-0.01561628987980921,0.006304341214559806,-35.472735174624134,0.21441771791124772,0.8173726269561099,-1.4625740665917615,24.741538059603833,135.20999958824052,22.247018434815367,127.1940175762878
1.0008,0.270788452258242,0.7945435880562786,-1.5204139795302096,-0.015567462184866146,0.0064806323561215,-35.46155206548933,-0.015563932520739334,0.006485061476741961,-35.46235333925009,0.22276489246096678,0.8132836311122902,-1.4809713398499853,25.39653119971833,136.6311465277552,22.832074577209816,128.52908297659715
1.0016,0.27871079432102897,0.7899305140505755,-1.538671384982929,-0.015512536075533675,0.006653249791238456,-35.45300678505862,-0.015508028108596156,0.006665005452292263,-35.45275184152726,0.23105654400388032,0.8090929860132455,-1.4995534128333303,26.07214421104447,138.06976854775368,23.435277699669808,129.88031387044404
1.0024,0.28657027245685734,0.785223271651081,-1.5571043314115396,-0.01545441513568264,0.006825162870498586,-35.44512866335956,-0.015448592077750315,0.006844073923838189,-35.44393362523459,0.23929109119589625,0.8048014341862995,-1.5183209016039843,26.769123378855912,139.52609761115573,24.057274995222794,131.2479342385491
1.0032,0.2943654549558741,0.7804227461746737,-1.575713272623561,-0.01539310821304995,0.006996288148591342,-35.437921816557164,-0.01538564347855052,0.007022168102940543,-35.43590129462355,0.24746696323005463,0.8004097481600838,-1.5372744117587247,27.488245345982044,141.00036235000383,24.698739667930884,132.63216621279187
1.004,0.30209492412596367,0.7755298494797636,-1.59449865298332,-0.015328626947328053,0.007166542203056755,-35.43139014762793,-0.015319204960452144,0.007199189794404131,-35.42865711219966,0.2555826005044135,0.7959187303144211,-1.5564145382939487,28.230318416736505,142.49278731198498,25.36037204469051,134.03322949888286
1.0048,0.30975727687009785,0.7705455197162605,-1.6134609073467618,-0.015260985778254767,0.0073358417491847065,-35.42553734290181,-0.015249302746157434,0.007375041559695113,-35.42220299709787,0.2636364552882797,0.7913292127131694,-1.5757418654730795,28.996183913692505,144.0035921341892,26.042900732852644,135.4513407423779
1.0056,0.31735112525870696,0.7654707210611686,-1.6326004609986051,-0.01519020194804811,0.007504103755673474,-35.42036686889248,-0.015175966596828015,0.007549626878889039,-35.41654052405852,0.27162699238623667,0.7866420569200477,-1.5952569666963239,29.78671758858898,145.53299063790277,26.747083824961624,136.88671283320835
1.0064,0.32487509709669077,0.7603064434399018,-1.6519177295918874,-0.015116295498124698,0.007671245560723038,-35.4158819694248,-0.01509922976847175,0.007722850310580393,-35.41167092300785,0.2795526897994985,0.7818581537974284,-1.6149604043729868,30.60283108854521,147.0811898377498,27.473710151857137,138.3395541435254
1.0072,0.33232783648469477,0.7550537022334273,-1.6714131190899497,-0.01503928926006188,0.007837184988233513,-35.41208566306766,-0.015019128959647524,0.007894617649192729,-35.407595079245596,0.28741203938412563,0.7769784232881128,-1.6348527297962963,31.445473478620077,148.648388857959,28.223600585300627,139.81006769323776
