freq_ghz,s11_re,s11_im,s11_db,zactive_re_ohm,zactive_im_ohm
1.0,-0.13264424081903958,0.6536576717307676,-3.517738636654502,32.461288334674634,76.44442465419706
1.0008,-0.12904119335352454,0.6534333631959623,-3.529822355703764,32.69496445030572,76.79730147169414
1.0016,-0.1254506664058076,0.6531921079790862,-3.5418704176635742,32.92992889973735,77.15023240318678
1.0024,-0.1218726921848289,0.652934058881542,-3.55388280364925,33.16618926259269,77.50321499641905
1.0032,-0.11830730157448896,0.6526593678209069,-3.565859497933554,33.403753163736816,77.85624674201536
1.004,-0.11475452415389763,0.6523681858269319,-3.5778004879124,33.64262827337118,78.20932507272423
1.0048,-0.11121438821743036,0.6520606630378022,-3.5897057640706516,33.882822307125146,78.56244736265457
1.0056,-0.10768692079461593,0.6517369486966634,-3.60157531994786,34.12434302614252,78.91561092650181
1.0064,-0.10417214766984423,0.6513971911483951,-3.613409152104123,34.367198237164374,79.26881301876445
1.0072,-0.1006700934018841,0.6510415378366367,-3.6252072600859435,34.61139579260783,79.62205083295267
1.008,-0.09718078134323396,0.6506701353010546,-3.636969646392132,34.85694359063973,79.97532150078555
1.0088,-0.09370423365927615,0.6502831291748467,-3.6486963164397967,35.10384957524661,80.32862209138072
1.0096,-0.09024047134725798,0.64988066418248,-3.6603872785303664,35.35212173629936,80.68194961043292
1.0104,-0.08678951425508974,0.6494628841376546,-3.6720425438156745,35.601768109612976,81.03530099938324
1.0112,-0.08335138109994918,0.6490299319414888,-3.683662126264151,35.852796777002176,81.38867313457912
1.012,-0.07992608948671637,0.6485819495809224,-3.695246042627043,36.10521586633075,81.74206282642356
1.0128,-0.07651365592620957,0.6481190781273298,-3.7067943124047638,36.35903355155683,82.09546681851522
1.0136,-0.07311409585324634,0.6476414577353421,-3.718306957813289,36.61425805277179,82.44888178677786
1.0144,-0.06972742364451932,0.6471492276418689,-3.7297840037506664,36.870897636233956,82.80230433857955
1.0152,-0.06635365263627829,0.6466425261653174,-3.7412254777636402,37.128960614397016,83.15573101184242
1.016,-0.06299279514184049,0.6461214907050062,-3.7526314100143128,37.388455345931554,83.50915827414097
1.0168,-0.05964486246890301,0.6455862577407626,-3.764001833247006,37.64939023574178,83.86258252179114
1.0176,-0.05630986493667891,0.6450369628327062,-3.775336782755152,37.9117737349751,84.21600007892795
1.0184,-0.0529878118928491,0.6444737406212107,-3.7866362963483278,38.17561434102537,84.56940719657268
1.0192,-0.04967871173032028,0.6438967248270359,-3.7979004143194492,38.44092059753061,84.92280005169013
1.02,-0.04638257190381296,0.6433060482516356,-3.809129179412005,38.7077010943624,85.27617474623403
1.0208,-0.04309939894625139,0.6427018427776241,-3.820322636787516,38.975964467610055,85.6295273061825
1.0216,-0.039829198484980115,0.6420842393694091,-3.831480833993038,39.245719399556286,85.98285368056214
1.0224,-0.03657197525779608,0.6414533680739776,-3.8426038209288604,39.51697461864641,86.33614974046088
1.0232,-0.03332773312879112,0.6408093580218359,-3.8536916498163314,39.78973889945012,86.68941127803048
1.024,-0.03009647510402425,0.6401523374280996,-3.8647443751657953,40.06402106261483,87.04263400547693
1.0248,-0.02687820334700055,0.639482433593724,-3.875762053744734,40.339829974812375,87.39581355404043
1.0256,-0.02367291919397716,0.6387997729068795,-3.8867447445460135,40.61717454867658,87.74894547296347
1.0264,-0.020480623169090353,0.6381044808444619,-3.897692508756289,40.89606374273291,88.10202522844727
1.0272000000000001,-0.017301314999293483,0.6373966819737346,-3.908605409724596,41.17650656132018,88.45504820259781
1.028,-0.014134993629130036,0.6366764999541021,-3.919483512931072,41.45851205450252,88.80800969235862
1.0288,-0.010981657235315913,0.6359440575390071,-3.930326885955866,41.74208931797369,89.16090490843352
1.0296,-0.007841303241153114,0.6351994765779511,-3.941135598448188,42.02724749295119,89.51372897419664
1.0304,-0.004713928330767462,0.6344428780186318,-3.9519097220955595,42.31399576606155,89.86647692459036
1.0312,-0.0015995284631638556,0.6336743819091972,-3.962649330593197,42.602343369216115,90.2191437050127
1.032,0.0015019011138859002,0.632894107400609,-3.9733544996136265,42.89229957947683,90.57172417019119
1.0328,0.004590365850127657,0.6321021727491158,-3.9840253067764193,43.18387371891178,90.9242130830453
1.0336,0.007665871879290849,0.6312986953188303,-3.9946618316181386,43.477075154441074,91.2766051135374
1.0344,0.01072842600571262,0.630483791584408,-4.005264155562473,43.77191329767143,91.6288948375101
1.0352,0.013778035691145505,0.6296575771338254,-4.015832361890526,44.0683976047205,91.98107673551283
1.036,0.01681470904172472,0.6288201666712495,-4.026366535711351,44.36653757603023,92.33314519161486
